pulled_at_utc,station_id,station_name,river,level_cm,level_measured_at,flow_cms,flow_measured_at,temp_c,temp_measured_at
2026-06-16 16:02:04,149220060,Lesko,San,171,2026-06-16 15:30:00,14.2,2026-06-16 15:30:00,,
2026-06-16 18:01:41,149200160,Krościenko,Dunajec,191,2026-06-16 17:20:00,29.8,2026-06-16 17:30:00,10.9,2026-06-16 06:00:00
2026-06-16 18:01:41,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-16 06:00:00
2026-06-16 18:01:41,149200190,Gołkowice,Dunajec,164,2026-06-16 17:30:00,35,2026-06-16 17:30:00,,
2026-06-16 18:01:41,149220060,Lesko,San,171,2026-06-16 17:30:00,14.2,2026-06-16 17:30:00,,
2026-06-16 20:01:10,149200160,Krościenko,Dunajec,191,2026-06-16 19:20:00,29.8,2026-06-16 19:30:00,10.9,2026-06-16 06:00:00
2026-06-16 20:01:10,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-16 06:00:00
2026-06-16 20:01:10,149200190,Gołkowice,Dunajec,164,2026-06-16 19:30:00,35,2026-06-16 19:30:00,,
2026-06-16 20:01:10,149220060,Lesko,San,171,2026-06-16 19:30:00,14.2,2026-06-16 19:30:00,,
2026-06-16 22:01:17,149200160,Krościenko,Dunajec,191,2026-06-16 21:20:00,28.7,2026-06-16 21:30:00,10.9,2026-06-16 06:00:00
2026-06-16 22:01:17,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-16 06:00:00
2026-06-16 22:01:17,149200190,Gołkowice,Dunajec,163,2026-06-16 21:30:00,34,2026-06-16 21:30:00,,
2026-06-16 22:01:17,149220060,Lesko,San,171,2026-06-16 21:30:00,14.2,2026-06-16 21:30:00,,
2026-06-17 00:01:13,149200160,Krościenko,Dunajec,193,2026-06-16 23:20:00,31.9,2026-06-16 23:30:00,10.9,2026-06-16 06:00:00
2026-06-17 00:01:13,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-16 06:00:00
2026-06-17 00:01:13,149200190,Gołkowice,Dunajec,162,2026-06-16 23:30:00,33,2026-06-16 23:30:00,,
2026-06-17 00:01:13,149220060,Lesko,San,171,2026-06-16 23:30:00,14.2,2026-06-16 23:30:00,,
2026-06-17 02:01:07,149200160,Krościenko,Dunajec,193,2026-06-17 01:20:00,31.9,2026-06-17 01:30:00,10.9,2026-06-16 06:00:00
2026-06-17 02:01:07,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-16 06:00:00
2026-06-17 02:01:07,149200190,Gołkowice,Dunajec,162,2026-06-17 01:30:00,33,2026-06-17 01:30:00,,
2026-06-17 02:01:07,149220060,Lesko,San,171,2026-06-17 01:30:00,14.2,2026-06-17 01:30:00,,
2026-06-17 04:01:13,149200160,Krościenko,Dunajec,193,2026-06-17 03:20:00,31.9,2026-06-17 03:30:00,10.9,2026-06-16 06:00:00
2026-06-17 04:01:13,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-16 06:00:00
2026-06-17 04:01:13,149200190,Gołkowice,Dunajec,162,2026-06-17 03:30:00,33,2026-06-17 03:30:00,,
2026-06-17 04:01:13,149220060,Lesko,San,171,2026-06-17 03:30:00,14.2,2026-06-17 03:30:00,,
2026-06-17 06:01:30,149200160,Krościenko,Dunajec,193,2026-06-17 05:20:00,31.9,2026-06-17 05:30:00,10.9,2026-06-16 06:00:00
2026-06-17 06:01:30,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-16 06:00:00
2026-06-17 06:01:30,149200190,Gołkowice,Dunajec,164,2026-06-17 05:30:00,35,2026-06-17 05:30:00,,
2026-06-17 06:01:30,149220060,Lesko,San,171,2026-06-17 05:30:00,14.2,2026-06-17 05:30:00,,
2026-06-17 08:02:15,149200160,Krościenko,Dunajec,192,2026-06-17 07:20:00,31.9,2026-06-17 07:30:00,10.9,2026-06-16 06:00:00
2026-06-17 08:02:15,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-16 06:00:00
2026-06-17 08:02:15,149200190,Gołkowice,Dunajec,164,2026-06-17 07:30:00,35,2026-06-17 07:30:00,,
